IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
35.221.215.200,2023,true,TPE,Asia Pacific,Taipei,75 ms,24010 kB/s
18.183.137.85,2083,true,LAX,North America,Los Angeles,84 ms,20607 kB/s
47.128.164.52,9999,true,SIN,Asia Pacific,Singapore,111 ms,19229 kB/s
132.145.83.155,33799,true,HKG,Asia Pacific,Hong Kong,83 ms,18896 kB/s
8.218.18.132,2053,true,HKG,Asia Pacific,Hong Kong,64 ms,18598 kB/s
118.163.128.81,17333,true,KHH,Asia Pacific,Kaohsiung City,81 ms,13232 kB/s
193.122.122.16,40377,true,LAX,North America,Los Angeles,81 ms,13141 kB/s
154.197.121.248,8443,true,SJC,North America,San Jose,175 ms,12539 kB/s
217.163.76.59,443,true,SJC,North America,San Jose,170 ms,11234 kB/s
146.56.177.67,61153,true,HKG,Asia Pacific,Hong Kong,84 ms,10729 kB/s
154.197.121.253,443,true,SJC,North America,San Jose,175 ms,10548 kB/s
154.197.121.99,8443,true,SJC,North America,San Jose,174 ms,10115 kB/s
140.238.26.92,20855,true,LAX,North America,Los Angeles,78 ms,9880 kB/s
89.208.242.96,8443,true,LAX,North America,Los Angeles,175 ms,9628 kB/s
47.236.65.177,2087,true,SIN,Asia Pacific,Singapore,224 ms,9206 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,228 ms,9127 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,219 ms,9010 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,236 ms,8925 kB/s
38.59.226.113,34237,true,LHR,Europe,London,209 ms,8895 kB/s
8.222.168.24,2087,true,SIN,Asia Pacific,Singapore,227 ms,8841 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,213 ms,8830 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,229 ms,8642 kB/s
47.236.103.153,2053,true,SIN,Asia Pacific,Singapore,217 ms,8618 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,231 ms,8570 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,225 ms,8471 kB/s
8.222.129.245,2083,true,SIN,Asia Pacific,Singapore,234 ms,8440 kB/s
217.163.76.107,2053,true,SJC,North America,San Jose,170 ms,8418 kB/s
47.236.161.155,2053,true,SIN,Asia Pacific,Singapore,239 ms,8415 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,233 ms,8375 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,219 ms,8368 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,246 ms,8331 kB/s
47.236.65.177,2096,true,SIN,Asia Pacific,Singapore,233 ms,8306 kB/s
8.222.211.124,2096,true,SIN,Asia Pacific,Singapore,232 ms,8291 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,247 ms,8290 kB/s
8.222.168.24,2083,true,SIN,Asia Pacific,Singapore,230 ms,8272 kB/s
154.197.121.127,443,true,SJC,North America,San Jose,176 ms,8253 kB/s
47.236.144.208,2087,true,SIN,Asia Pacific,Singapore,221 ms,8249 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,240 ms,8240 kB/s
