IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
173.242.117.88,2083,true,LAX,North America,Los Angeles,176 ms,10019 kB/s
129.154.212.181,44699,true,NRT,Asia Pacific,Tokyo,70 ms,9475 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,232 ms,9311 kB/s
193.122.122.16,40377,true,NRT,Asia Pacific,Tokyo,70 ms,9300 kB/s
74.211.96.144,9080,true,LAX,North America,Los Angeles,174 ms,9281 kB/s
8.222.155.242,2053,true,SIN,Asia Pacific,Singapore,223 ms,9231 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,224 ms,9126 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,214 ms,9084 kB/s
8.222.182.10,2096,true,SIN,Asia Pacific,Singapore,219 ms,9080 kB/s
47.236.7.13,2087,true,SIN,Asia Pacific,Singapore,226 ms,9064 kB/s
47.236.82.218,2053,true,SIN,Asia Pacific,Singapore,229 ms,8992 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,240 ms,8969 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,219 ms,8952 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,234 ms,8894 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,231 ms,8849 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,212 ms,8831 kB/s
8.222.211.124,2096,true,SIN,Asia Pacific,Singapore,233 ms,8815 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,220 ms,8815 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,227 ms,8779 kB/s
47.236.65.177,2087,true,SIN,Asia Pacific,Singapore,230 ms,8751 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,224 ms,8710 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,216 ms,8683 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,230 ms,8657 kB/s
8.222.215.228,2096,true,SIN,Asia Pacific,Singapore,221 ms,8656 kB/s
